Issue ID,Product,Component,Assignee,Status,Resolution,Summary,Changed
477,Infrastructure,Bugzilla,non-migrated,CLOSED,FIXED,JavaScript error on Issuezilla,2003/12/27 10:23
29486,Impress,ui,christian.guenther,CLOSED,FIXED,Preview doesn't show animation.,2010/11/11 2:11
37393,Installation,code,uwe.luebbers,CLOSED,FIXED,Assign help files to specific modules,2004/12/13 12:52
46682,Internationalization,ui,petr.dudacek,CLOSED,FIXED,es UI: truncated Scroll Down button caption in License Agreement dialog,2013/8/7 15:00
59512,Infrastructure,Bugzilla,non-migrated,RESOLVED,FIXED,add issue with attachment and keywords in one step,2009/1/23 11:20
87480,Infrastructure,Website general issues,luispo,RESOLVED,FIXED,ssh2key for CVS access,2012/1/29 22:52
55135,Internationalization,code,christian.guenther,CLOSED,FIXED,[Draw+Impress] Need feature for easy manual override of incorrect word breaking,2013/8/7 15:03
17866,Infrastructure,Website general issues,non-migrated,CLOSED,FIXED,Lao public key n-l,2004/8/4 1:19
36362,Infrastructure,Website general issues,non-migrated,CLOSED,FIXED,Browse all results doesn't work in Search results,2008/5/17 23:28
63936,Impress,save-export,christian.guenther,CLOSED,FIXED,PPT-export: The height of a textbox is different after saving,2006/5/9 16:49
43876,Impress,editing,christian.guenther,CLOSED,FIXED,Can't apply master slides and lost master slides,2005/4/29 14:37
41824,Impress,viewing,christian.guenther,CLOSED,FIXED,Presentation is in the upper left corner while starting,2005/4/21 15:53
92158,Internationalization,ui,paolopoz,CLOSED,FIXED,[IT] Replace Diagramma -> Grafico,2013/8/7 15:02
53715,Impress,open-import,wolframgarten,CLOSED,FIXED,Impress: (Animated) objects are doubled from 1.1.4 to m122,2005/11/11 8:36
35136,Impress,ui,christian.guenther,CLOSED,FIXED,Cliping of gradients and bitmaps are wrong.,2005/4/11 13:15
61842,Installation,code,olaf-openoffice,CLOSED,FIXED,Change packaging content for OpenOffice.org 2.0.2 RC,2006/2/16 9:20
40982,Internationalization,ui,ivo.hinkelmann,CLOSED,FIXED,localize.pl have to deal with sym links,2013/8/7 15:00
44823,Impress,ui,christian.guenther,CLOSED,FIXED,I cant change the master slide design after changing the Slide orientation,2005/11/14 10:23
